document_type,role,permlevel,if_owner,apply_user_permissions,select,read,write,create,delete,submit,cancel,amend,report,export,import,share,print,email,set_user_permissions,mask,notes
Acceptance Certificate,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.; Read acceptance consequences.
Acceptance Certificate,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive acceptance/exception note.
Acceptance Certificate,Accounts Payable Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Acceptance Certificate,Accounts Payable Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accepted qty / financial consequence.
Acceptance Certificate,Contract Manager,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Acceptance Certificate,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Acceptance Certificate,Finance/Budget Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Accepted qty / financial consequence.
Acceptance Certificate,Inspection & Acceptance Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Payment prerequisite.
Acceptance Certificate,Inspection & Acceptance Officer,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Observations and defect notes.
Acceptance Certificate,Inspection & Acceptance Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Monetary/bank/control fields.; Accepted qty / financial consequence.
Acceptance Certificate,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read controlled record.
Acceptance Certificate,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read restricted finance fields.; Read acceptance consequences.
Acceptance Certificate,Internal Auditor,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fraud/forensic metadata.
Approval Matrix Rule,Accounting Officer,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read sensitive control fields.
Approval Matrix Rule,Finance/Budget Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Operational reference use only.
Approval Matrix Rule,Head of Procurement,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Approval Matrix Rule,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Approval Matrix Rule,Internal Auditor,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Read sensitive control fields.
Approval Matrix Rule,Planning Authority,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,Do not expose edits to transactional users.
Approval Matrix Rule,Planning Authority,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sensitive control values.
Approval Matrix Rule,Procurement Officer,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Operational reference use only.
Approval Matrix Rule,Procurement Planner,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Reference/master read access.
Award Contract Handoff,Contract Manager,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No handoff until final award.
Award Contract Handoff,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Contract Handoff,Procurement Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,No handoff until final award.
Award Decision,Accounting Officer,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Final approval/hold/cancel.
Award Decision,Accounting Officer,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Financial/legal/verification fields.; Read restricted fields.
Award Decision,Accounting Officer,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Executive decision note.
Award Decision,Head of Procurement,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
Award Decision,Internal Auditor,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Read-only audit/oversight.
