phase,module,document_type,fieldname,label,fieldtype,permlevel,sensitivity_class,recommended_read_roles,recommended_write_roles,mask_recommended,ignore_user_permissions,notes
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,linked_document,Linked Document,Link,0,Operational,All document readers,Owner role / workflow actor,No,No,Base linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,observation_note,Observation / Defect Note,Long Text,1,Internal Control,"Inspection & Acceptance Officer, Contract Manager, Internal Auditor",Inspection & Acceptance Officer,No,No,Inspection narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,reason_or_remarks,Reason / Remarks,Long Text,1,Internal Control,Primary operational and audit readers,Owner role,No,No,Operational narrative.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,accepted_rejected_quantity,Accepted / Rejected Quantity,Float,2,Finance / Control,"Inspection & Acceptance Officer, Contract Manager, Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Inspection & Acceptance Officer,No,No,Drives commercial consequence.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,financial_amount,Amount / Control Value,Currency,2,Finance / Control,"Finance/Budget Officer, Accounts Payable Officer, Accounting Officer / Approving Authority, Internal Auditor",Finance/Budget Officer / AP / owner role,No,No,Finance-sensitive.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,approval_or_override_note,Approval / Override Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Internal Auditor",Accounting Officer / Approving Authority,No,No,Executive signoff.
Phase 3,"Contract, Execution, Inspection & Financial Control",Acceptance Certificate,forensic_ref,Forensic Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Do not expose broadly.
Phase 1,Planning & Budgeting,Approval Matrix Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 1,Planning & Budgeting,Approval Matrix Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 1,Planning & Budgeting,Approval Matrix Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 1,Planning & Budgeting,Approval Matrix Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 1,Planning & Budgeting,Approval Matrix Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 1,Planning & Budgeting,Approval Matrix Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 2C,"Evaluation, Award & Challenge",Award Contract Handoff,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Award Contract Handoff,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
